y,Athlete,Non-Athlete,x1,x2,Difference
ACADEMIC,3.0,2.75,2.75,3.0,0.25
ACCOUNTANT,4.25,3.25,3.25,4.25,1.0
ADMINISTRATOR,2.5,3.0,2.5,3.0,-0.5
AUDITOR,3.0,4.0,3.0,4.0,-1.0
BARISTA,3.0,3.5,3.0,3.5,-0.5
CIVIL ENGINEER,4.0,4.0,4.0,4.0,0.0
CIVIL SERVANT,3.25,3.5,3.25,3.5,-0.25
CIVIL SERVICE,3.5,2.5,2.5,3.5,1.0
COACH,3.5,4.0,3.5,4.0,-0.5
DOCTOR,4.0,4.0,4.0,4.0,0.0
ELECTRICAL ENGINEER,4.0,5.0,4.0,5.0,-1.0
ENGINEER,4.0,4.0,4.0,4.0,0.0
FINANCIAL SERVICES,3.0,5.0,3.0,5.0,-2.0
FOOTBALL COACH,4.0,2.5,2.5,4.0,1.5
FULL TIME STUDENT,2.0,1.0,1.0,2.0,1.0
HOME MAKER,4.0,4.0,4.0,4.0,0.0
IT MANAGER,2.0,4.0,2.0,4.0,-2.0
JOINER,3.0,4.0,3.0,4.0,-1.0
JOURNALIST,2.0,2.5,2.0,2.5,-0.5
LECTURER,3.75,3.5,3.5,3.75,0.25
LOCAL GOVERNMENT,5.0,3.0,3.0,5.0,2.0
MANAGEMENT,4.0,3.0,3.0,4.0,1.0
MENTAL HEALTH NURSE,4.0,4.0,4.0,4.0,0.0
NURSE,4.0,3.5,3.5,4.0,0.5
OPTOMETRIST,4.0,3.0,3.0,4.0,1.0
PE TEACHER,4.0,4.0,4.0,4.0,0.0
PHYSIOTHERAPIST,4.0,4.0,4.0,4.0,0.0
PROJECT MANAGER,4.0,2.25,2.25,4.0,1.75
PSYCHOLOGIST,5.0,4.0,4.0,5.0,1.0
PUBLIC SERVANT,5.0,4.0,4.0,5.0,1.0
RESEARCHER,4.0,2.25,2.25,4.0,1.75
RETAIL,2.0,3.0,2.0,3.0,-1.0
RETAIL WORKER,3.0,4.0,3.0,4.0,-1.0
RETIRED,4.25,4.0,4.0,4.25,0.25
SALES,2.75,3.75,2.75,3.75,-1.0
SALES MANAGER,4.0,3.0,3.0,4.0,1.0
SECRETARY,4.0,1.0,1.0,4.0,3.0
SPEECH AND LANGUAGE THERAPIST,4.0,4.0,4.0,4.0,0.0
SPORTS COACH,3.5,4.0,3.5,4.0,-0.5
SPORTS DEVELOPMENT OFFICER,5.0,5.0,5.0,5.0,0.0
STUDENT,3.75,3.25,3.25,3.75,0.5
SUPPORT WORKER,3.0,4.0,3.0,4.0,-1.0
TEACHER,3.75,3.75,3.75,3.75,0.0
UNEMPLOYED,3.25,2.5,2.5,3.25,0.75
YOUTH WORKER,2.0,4.5,2.0,4.5,-2.5
